Heroe 1,Heroe 2,Resultado_Comics,Resultado_Peliculas,Resultado_Combinado
Kingo,Taskmaster,1,2,1
Wrath,Taskmaster,1,2,1
Outrider,Ronin,1,2,1
Baby Groot,Scarlet Witch,2,1,2
Supergirl,Black Widow,1,2,1
Iron Spider,Doctor Strange,2,1,2
Ms. America,Parademon,1,2,1
Abomination,Harley Quinn,1,2,1
Killer Croc,Katana,2,1,2
Jessica Jones,Hawkman,2,1,2
Unworthy Thor,Spider-Man,2,1,2
Hulk,Ghost Rider,1,2,1
Iron Man (MK 1),Bullseye,1,2,1
Red Skull (Stonekeeper),Black Adam,2,1,2
Philippus,Sif,2,1,2
Doctor Strange,Shuri,2,1,2
Daredevil,Proxima Midnight,1,2,1
Gilgamesh,Black Panther,2,1,2
Gorr the God Butcher,Kingo,2,1,2
Rick Flag,Hulk,2,1,2
Iron Man (Stark Gauntlet),Captain Boomerang,2,1,2
Captain Carter (Earth-838),Baron Zemo,2,1,2
The Collector,Heimdall,1,2,1
Dormammu,Quicksilver,1,2,1
Nebula,Mysterio,1,2,1
Hawkeye (Variant),Cull Obsidian,2,1,2
Dark Flash,Rick Flag,1,2,1
Vulture,The Punisher,2,1,2
Outrider,Peacemaker,1,2,1
Shang-Chi,Winter Soldier,2,1,2
Jessica Jones,Queen Atlanna,2,1,2
Ancient One,Mr. Knight,1,2,1
Baron Zemo,Okoye,2,1,2
Doctor Fate,Sol Soria,1,2,1
Baron Mordo,Moon Knight,2,1,2
Thena,Loki,2,1,2
Black Canary,Hela,2,1,2
Polka-Dot Man,Iron Monger,1,2,1
Moon Knight,Penthesileia,2,1,2
Hawkeye (Variant),Nam-Ek,2,1,2
Drax the Destroyer,Zeus,1,2,1
Quake,Ikaris,1,2,1
Wonder Woman,Mera,2,1,2
Iron Man (Hulkbuster),Kro,1,2,1
Odin,Kurse,2,1,2
Corvus Glaive,Captain Marvel,1,2,1
Black Manta,Jor-El,1,2,1
Ultron,Leo Fitz,2,1,2
Philippus,Wanda Maximoff (Pre-Wandavision),1,2,1
Kingo,Thor (Pre-Ragnarok),1,2,1
Surtur,Envy,1,2,1
Proxima Midnight,Taskmaster,1,2,1
Black Mask,Gorr the God Butcher,2,1,2
Fandral,Ironheart,2,1,2
Peacemaker,Quake,2,1,2
Odin,Kingo,1,2,1
Huntress,Stature,1,2,1
Harley Quinn,Ancient One (Time Stone),1,2,1
Falcon,Savant,1,2,1
Thor,Gravik,1,2,1
Gargantos,Mister Zsasz,2,1,2
Ratcatcher,Whiplash Mark II,2,1,2
Steppenwolf,Shang-Chi,1,2,1
Baron Mordo,Fandral,2,1,2
Parademon,Rescue,2,1,2
Doctor Fate,Korath the Pursuer,1,2,1
Ghost,Kro,2,1,2
Savant,Dar-Benn,1,2,1
Ocean Master,Giah,1,2,1
She-Hulk,Malekith (Reality Stone),2,1,2
Lex Luthor,Makkari,2,1,2
Doctor Strange,Wanda Maximoff (Pre-Wandavision),2,1,2
Killian,The Collector,1,2,1
Gargantos,Captain Marvel,1,2,1
Bloodsport,Iron Spider,2,1,2
Quicksilver,Red Guardian,2,1,2
Penthesileia,Sersi,1,2,1
Mera,Sersi (Uni-Mind),1,2,1
Fenris,Ms. Marvel,1,2,1
Huntress,Killmonger,2,1,2
Scarlet Witch,Leo Fitz,2,1,2
Dark Flash,Sersi (Uni-Mind),2,1,2
Giant-Man,Loki (Mind Stone),1,2,1
Outrider,Kang the Conqueror,2,1,2
Kurse,Smart Hulk,1,2,1
Nuidis Vulko,Judomaster,2,1,2
Kingpin,Philippus,2,1,2
The Great Protector,The Punisher,2,1,2
Wasp,Envy,1,2,1
Whiplash,Iron Man (Stark Gauntlet),2,1,2
Stature,Sif,2,1,2
Atom Smasher,Kaecilius,2,1,2
Karathen,Hawkeye (Variant),1,2,1
The Flash,Kingo,1,2,1
Captain America,Jor-El,1,2,1
Doctor Sivana,Black Bolt,2,1,2
Black Adam,Spider-Man,1,2,1
Hulk,Captain Marvel,1,2,1
Loki (King of Asgard),Darkseid,1,2,1
Wonder Woman,Iron Spider,2,1,2
High Evolutionary,Arishem the Judge,1,2,1
Star-Lord (Celestial Power),Nuidis Vulko,2,1,2
Rick Flag,Bullseye,2,1,2
Green Lantern,Kaecilius,1,2,1
Cyborg,Cheetah,2,1,2
Black Widow (Variant),Queen Atlanna,1,2,1
King Nereus,Odin,1,2,1
The Great Protector,Mr. Fantastic (Earth-838),1,2,1
Black Widow (Variant),Odin,1,2,1
Doctor Sivana,Black Widow,1,2,1
Killer Croc,Vulture,1,2,1
Sabbac,Yondu,2,1,2
Cyclone,Doomsday,1,2,1
Iron Spider,Sabbac,1,2,1
Korath the Pursuer,Korg,2,1,2
Cassandra Cain,Aquaman,1,2,1
Hulk,Harley Quinn,2,1,2
Okoye,Ebony Maw,2,1,2
Agatha Harkness,Ego,1,2,1
Nick Fury,Killmonger,2,1,2
Loki (Keeper of the Multiverse),Philippus,1,2,1
Iron Fist,Ocean Master,1,2,1
Iron Fist,Ultron,2,1,2
Scarlet Witch,Black Panther (Variant),2,1,2
Whiplash,Spider-Man,2,1,2
Echo,Ratcatcher,2,1,2
Gravik,Killer Croc,2,1,2
Talos the Untamed,Gargantos,2,1,2
Red Skull (Stonekeeper),Shang-Chi,1,2,1
Deadshot,Talos the Untamed,1,2,1
Ares,Phastos,1,2,1
Enchantress,Ares,1,2,1
Corvus Glaive,Gilgamesh,1,2,1
Whiplash Mark II,Ocean Master,2,1,2
Iron Monger,Loki (Keeper of the Multiverse),2,1,2
Dormammu,Phastos,1,2,1
The Great Protector,Wonder Woman,1,2,1
Thor (Pre-Ragnarok),Lust,2,1,2
Philippus,Korg,2,1,2
Mr. Fantastic (Earth-838),Thor,2,1,2
Aquaman,Killer Croc,1,2,1
Hulk (Stark Gauntlet),Zeus,1,2,1
Red Guardian,Elektra,1,2,1
Ikaris,Slipknot,1,2,1
Hela,Loki (Keeper of the Multiverse),2,1,2
Baron Mordo,Sersi (Uni-Mind),2,1,2
Valkyrie,Hawkeye,2,1,2
Scarlet Witch,Valkyrie,1,2,1
Korath the Pursuer,Talos the Untamed,2,1,2
Atom Smasher,The Executioner,1,2,1
Atom Smasher,Vigilante,1,2,1
Phastos,El Diablo,2,1,2
Warlock,Mighty Thor,1,2,1
Kingpin,Quake,1,2,1
Ironheart,MODOK,1,2,1
Queen Atlanna,Queen Hippolyta,2,1,2
Korath the Pursuer,Loki (Mind Stone),2,1,2
Philippus,The Flash,1,2,1
Unworthy Thor,Savant,2,1,2
Phastos,Green Lantern,1,2,1
Freddy Freeman,Thor (Awakened),1,2,1
Destroyer,Ghost,2,1,2
Loki (Keeper of the Multiverse),MBaku,1,2,1
Gilgamesh,Gravik,1,2,1
Queen Atlanna,Ratcatcher,1,2,1
Unworthy Thor,Ego,1,2,1
Hulk (Stark Gauntlet),Wonder Woman,1,2,1
Ebony Maw,Batman,1,2,1
Black Bolt (Earth-838),El Diablo,1,2,1
Mr. Knight,Kid Loki,1,2,1
Ronan the Accuser,Namor,2,1,2
Ancient One (Time Stone),Rescue,2,1,2
Dar-Benn,Fenris,2,1,2
Loki (King of Asgard),Deathlok,2,1,2
Giah,Hespera,2,1,2
Ancient One,Envy,2,1,2
Dar-Benn,Talos the Untamed,1,2,1
Polka-Dot Man,Thena,1,2,1
Rick Flag,Doctor Strange,1,2,1
Darkseid,Savant,2,1,2
Ocean Master,Killer Croc,2,1,2
Black Manta,Giant-Man,1,2,1
Teenage Groot,Shuri,2,1,2
Black Bolt (Earth-838),Star-Lord (Celestial Power),2,1,2
Gorr the God Butcher,Mr. Fantastic (Earth-838),1,2,1
Mr. Fantastic (Earth-838),Sabbac,2,1,2
Red Guardian,Ms. Marvel,2,1,2
Ronan the Accuser,Sabbac,2,1,2
Sabbac,Shazam,1,2,1
Crossbones,Shuri,2,1,2
Killer Croc,Freddy Freeman,1,2,1
Wong,Black Widow,1,2,1
Bullseye,Black Canary,1,2,1
Doctor Fate,Ghost Rider,1,2,1
Kaecilius,Doctor Strange,2,1,2
Captain America,Starro,1,2,1
The Grandmaster,Black Manta,2,1,2
Queen Hippolyta,Ares,2,1,2
White Wolf,Iron Fist,1,2,1
Fenris,Kingpin,2,1,2
Hespera,Jessica Jones,1,2,1
Lady Loki,The Grandmaster,2,1,2
White Wolf,Doctor Fate,1,2,1
Sinister Strange,Red Skull (Stonekeeper),1,2,1
Black Manta,Black Bolt (Earth-838),1,2,1
Queen Hippolyta,Hawkman,2,1,2
Queen Hippolyta,Yellowjacket,2,1,2
Daredevil,MODOK,2,1,2
Ant-Man,Hela,1,2,1
Rescue,Incubus,2,1,2
Incubus,Sabbac,2,1,2
Bloodsport,Iron Monger,1,2,1
Gilgamesh,Dormammu,1,2,1
Hawkeye,El Diablo,2,1,2
Smart Hulk,Rick Flag,1,2,1
Kid Loki,Black Panther,2,1,2
Arishem the Judge,Huntress,1,2,1
Vulture,Captain America,1,2,1
Nick Fury,Ghost,2,1,2
Yellowjacket,Fat Thor,2,1,2
Gorr the God Butcher,Ghost,1,2,1
Lust,Frigga,1,2,1
Philippus,Darkseid,1,2,1
Supergirl,Ghost,1,2,1
Mantis,Spider-Man,1,2,1
Rick Flag,Loki (Keeper of the Multiverse),2,1,2
Incubus,Vigilante,1,2,1
Superman,Frigga,2,1,2
Quicksilver,Quake,2,1,2
Photon,Polka-Dot Man,1,2,1
The Great Protector,Ultron,1,2,1
MBaku,Sif,2,1,2
Ayo,Gamora,1,2,1
Ronan the Accuser,Ratcatcher,2,1,2
Star-Lord (Celestial Power),Thena,2,1,2
Wonder Woman,Wrath,2,1,2
Mantis,Ms. Marvel,2,1,2
Nick Fury,Hawkeye,1,2,1
Thor (Awakened),Nuidis Vulko,1,2,1
Batman,Faora,1,2,1
Arishem the Judge,Vigilante,2,1,2
Iron Man (MK 1),Polka-Dot Man,2,1,2
Okoye,Gamora,1,2,1
Ego,Queen Atlanna,1,2,1
Ronin,Karathen,2,1,2
Ikaris,Hawkeye (Variant),1,2,1
Gorr the God Butcher,Shazam,2,1,2
White Dragon,Bullseye,1,2,1
Jemiah the Analyzer,Photon,2,1,2
Mr. Fantastic (Earth-838),Spider-Man,1,2,1
The Flash,Ronan the Accuser,2,1,2
Gorr the God Butcher,Spectral Vision,2,1,2
Giant-Man,Makkari,1,2,1
Ocean Master,Mr. Fantastic (Earth-838),2,1,2
Pepper Potts (Extremis),Lust,1,2,1
Black Mask,Supergirl,2,1,2
Doctor Fate,Sersi (Uni-Mind),1,2,1
Black Widow,Queen Hippolyta,1,2,1
Thanos (Infinity Gauntlet),Wong,1,2,1
Killer Croc,Heimdall,2,1,2
Doomsday,Thanos (Infinity Gauntlet),2,1,2
Black Widow (Variant),The Great Protector,2,1,2
Philippus,Daredevil,1,2,1
Starro,Wonder Woman,1,2,1
Ronan the Accuser (Power Stone),Black Adam,2,1,2
Phastos,Red Guardian,2,1,2
MODOK,Red Guardian,1,2,1
Thanos (Infinity Gauntlet),Freddy Freeman,1,2,1
Red Skull,Rick Flag,1,2,1
Gargantos,Sinister Strange,1,2,1
Bucky Barnes,Wrath,2,1,2
Sol Soria,Thor,1,2,1
Wonder Woman,Jor-El,1,2,1
Hespera,Green Lantern,2,1,2
Black Widow,Mister Zsasz,1,2,1
Okoye,Parademon,1,2,1
Agatha Harkness,Jessica Jones,2,1,2
Loki (Variant L1130),Ultron,1,2,1
Cassandra Cain,Proxima Midnight,2,1,2
Cassandra Cain,Hawkeye,2,1,2
Deathlok,Rocket Raccoon,1,2,1
Gargantos,Ebony Maw,1,2,1
Arishem the Judge,Eternity,1,2,1
Quicksilver,Elektra,2,1,2
Mister Zsasz,Pepper Potts (Extremis),1,2,1
Kang the Conqueror,Jor-El,1,2,1
Groot,Nuidis Vulko,1,2,1
Ocean Master,Eternity,1,2,1
Korg,Nebula,1,2,1
Doctor Fate,Katana,1,2,1
Lady Loki,Black Bolt (Earth-838),1,2,1
King Nereus,Sersi,2,1,2
Gorr the God Butcher,Red Skull,1,2,1
Groot,Arishem the Judge,2,1,2
Philippus,Vulture,2,1,2
Ego,Pepper Potts (Extremis),2,1,2
Killer Croc,Faora,2,1,2
Baby Groot,Swole Groot,1,2,1
Photon,Eternity,2,1,2
Hawkman,Yellowjacket,1,2,1
Warlock,The Flash,1,2,1
Black Mask,Joker,1,2,1
Aquaman,Kingo,2,1,2
Destroyer,Freddy Freeman,2,1,2
The Punisher,Luke Cage,2,1,2
Ms. America,Cassandra Cain,1,2,1
Kid Loki,Cassandra Cain,2,1,2
The Collector,Mighty Thor,1,2,1
Steppenwolf,Ocean Master,1,2,1
Pepper Potts (Extremis),Loki,2,1,2
Iron Man (Hulkbuster),Photon,2,1,2
Faora,MODOK,2,1,2
Darkseid,Baby Groot,1,2,1
Fenris,Queen Atlanna,1,2,1
Warlock,Sinister Strange,1,2,1
Moon Knight,Slipknot,2,1,2
Bloodsport,Parademon,1,2,1
Enchantress,Green Lantern,1,2,1
White Wolf,Deathlok,2,1,2
The Punisher,Captain Marvel,1,2,1
Lady Loki,Killmonger,1,2,1
Iron Fist,Loki (Variant L1130),2,1,2
Kurse,Surtur,1,2,1
Whiplash Mark II,Iron Man (Hulkbuster),2,1,2
Batman,Hawkeye (Variant),2,1,2
Valkyrie,Mandarin,2,1,2
Captain Marvel,Gluttony,2,1,2
Sif,She-Hulk,1,2,1
Doctor Sivana,Penthesileia,1,2,1
Wanda Maximoff (Pre-Wandavision),Doctor Strange,2,1,2
The Punisher,Loki,1,2,1
Vigilante,Iron Man (Stark Gauntlet),1,2,1
Hulk,Malekith,2,1,2
Mysterio,Sersi (Uni-Mind),2,1,2
Korg,Sinister Strange,2,1,2
Doctor Sivana,Ayo,1,2,1
Enchantress,Namor,1,2,1
Black Panther (Variant),Outrider,1,2,1
Ares,Ebony Maw,1,2,1
Rescue,Fat Thor,2,1,2
Doctor Sivana,Joker,2,1,2
Outrider,Ratcatcher,1,2,1
White Dragon,Okoye,2,1,2
Rocket Raccoon,Black Mask,2,1,2
The Executioner,Aquaman,1,2,1
Darkseid,Okoye,2,1,2
Aquaman,Nebula,1,2,1
Philippus,Captain America (Worthy),1,2,1
Cull Obsidian,Quicksilver,1,2,1
Echo,Phastos,2,1,2
Black Panther,Enchantress,2,1,2
Hespera,Sabbac,2,1,2
She-Hulk,Crossbones,1,2,1
Freddy Freeman,Ratcatcher,2,1,2
Sabbac,Black Widow (Variant),1,2,1
Iron Monger,Hawkeye (Variant),1,2,1
Ares,Gargantos,1,2,1
Shazam,Iron Fist,1,2,1
Sol Soria,Ancient One,1,2,1
Hela,Philippus,2,1,2
Freddy Freeman,Iron Fist,2,1,2
Joker,Doctor Strange,2,1,2
Winter Soldier,Giah,2,1,2
Rick Flag,Ghost,1,2,1
High Evolutionary,Gargantos,1,2,1
Cheetah,Chitauri Footsoldier,2,1,2
Winter Soldier,Bucky Barnes,1,2,1
Kaecilius,El Diablo,2,1,2
Valkyrie,Kaecilius,2,1,2
Polka-Dot Man,Superman,2,1,2
White Wolf,Cheetah,1,2,1
Daredevil,Black Mask,1,2,1
Thor (Pre-Ragnarok),Dar-Benn,2,1,2
Black Canary,Deadshot,2,1,2
Captain America,Fat Thor,1,2,1
Black Bolt,Cheetah,1,2,1
Ratcatcher,Taskmaster,1,2,1
Gorr the God Butcher,Eternity,2,1,2
Kingo,Malekith,2,1,2
Leo Fitz,Ancient One,1,2,1
Cyclone,Lust,2,1,2
Hulk,Loki,1,2,1
Surtur,Captain Boomerang,2,1,2
Superman,Loki (Keeper of the Multiverse),1,2,1
Groot,Doctor Strange,1,2,1
Sif,Phastos,2,1,2
Spectral Vision,Taskmaster,1,2,1
Shazam,Swole Groot,1,2,1
Agatha Harkness,Sersi (Uni-Mind),1,2,1
Thena,Savant,1,2,1
Gluttony,Ayo,1,2,1
Nuidis Vulko,Batman,2,1,2
Star-Lord,Wanda Maximoff (Pre-Wandavision),2,1,2
Bucky Barnes,Black Widow,1,2,1
Killian,Iron Monger,2,1,2
Doctor Fate,Stature,1,2,1
Bucky Barnes,Gamora,1,2,1
Namor,Supergirl,2,1,2
Red Skull,Cassandra Cain,1,2,1
Warlock,Parademon,2,1,2
Captain Carter (Earth-838),Wrath,2,1,2
Black Bolt (Earth-838),Eternity,2,1,2
Black Bolt (Earth-838),Vigilante,1,2,1
Dark Flash,Gorr the God Butcher,1,2,1
Ronan the Accuser,Star-Lord,1,2,1
Loki (King of Asgard),Destroyer,1,2,1
Scarlet Witch,Surtur,1,2,1
Spectral Vision,Smart Hulk,2,1,2
Doctor Strange,Korath the Pursuer,2,1,2
Black Panther (Variant),Hulk,1,2,1
Nuidis Vulko,Ares,2,1,2
Kid Loki,Hulk (Stark Gauntlet),2,1,2
Vision,Ultron,2,1,2
Wonder Woman,Iron Man (Stark Gauntlet),1,2,1
Kingpin,Malekith,1,2,1
Ronin,Thor,1,2,1
Leo Fitz,Doctor Sivana,2,1,2
Korg,Swole Groot,2,1,2
Luke Cage,Envy,1,2,1
Chitauri Footsoldier,Kang the Conqueror,1,2,1
Ant-Man,Vision,2,1,2
Black Mask,Vigilante,2,1,2
The Collector,Batman,1,2,1
Ratcatcher,Spider-Man,2,1,2
Ratcatcher,Hulk,1,2,1
Loki (Variant L1130),Eternity,2,1,2
High Evolutionary,Leviathan,2,1,2
Doctor Strange,The Flash,2,1,2
Gamora,Thor,2,1,2
Wasp,Kang the Conqueror,1,2,1
Red Skull (Stonekeeper),Karathen,2,1,2
Loki (King of Asgard),Ikaris,2,1,2
Katana,Heimdall,1,2,1
Thor (Awakened),Black Widow (Variant),2,1,2
Leviathan,Unworthy Thor,2,1,2
Aquaman,Cheetah,2,1,2
Mister Zsasz,Darkseid,2,1,2
Leo Fitz,Dark Flash,2,1,2
Judomaster,Yondu,2,1,2
Zeus,Cull Obsidian,2,1,2
Black Canary,Mr. Fantastic (Earth-838),2,1,2
Namor,Red Guardian,2,1,2
Valkyrie,Ronin,2,1,2
Taskmaster,Freddy Freeman,2,1,2
The Collector,Ancient One (Time Stone),2,1,2
Heimdall,The Punisher,1,2,1
Rocket Raccoon,Dark Flash,1,2,1
Mera,Black Mask,1,2,1
Sersi,White Dragon,2,1,2
Teenage Groot,Namor,2,1,2
Captain Boomerang,Teenage Groot,2,1,2
Jor-El,Korg,1,2,1
Iron Man (Stark Gauntlet),MBaku,2,1,2
Bullseye,Wanda Maximoff (Pre-Wandavision),1,2,1
Ares,Hawkeye,1,2,1
Ronan the Accuser (Power Stone),Falcon,2,1,2
Batman,MODOK,2,1,2
Slipknot,Lady Loki,1,2,1
Thor (Awakened),Kang the Conqueror,1,2,1
Sif,Cheetah,2,1,2
Captain Boomerang,Proxima Midnight,1,2,1
Mr. Knight,Huntress,1,2,1
Hela,Nomad,1,2,1
Frigga,Smart Hulk,1,2,1
Ocean Master,Daredevil,1,2,1
Black Widow,Killer Croc,1,2,1
Loki (Mind Stone),Mr. Knight,2,1,2
Nuidis Vulko,Dar-Benn,1,2,1
Iron Man (Stark Gauntlet),Supergirl,1,2,1
Black Adam,Star-Lord,1,2,1
Kaecilius,Black Widow,2,1,2
Ghost Rider,Iron Man (MK 1),1,2,1
Steppenwolf,Sinister Strange,1,2,1
Ares,Cheetah,1,2,1
T.D.K.,Hela,1,2,1
Joker,Black Widow,2,1,2
Black Canary,Nebula,2,1,2
Yellowjacket,Rescue,1,2,1
Red Skull (Stonekeeper),Shazam,1,2,1
Baby Groot,Iron Man,2,1,2
Doomsday,Polka-Dot Man,2,1,2
Thor,Star-Lord (Celestial Power),1,2,1
Dar-Benn,Gilgamesh,2,1,2
Deathlok,Dar-Benn,1,2,1
Whiplash,Green Lantern,1,2,1
Gargantos,Wanda Maximoff (Pre-Wandavision),1,2,1
King Shark,Talos the Untamed,1,2,1
Giah,Mighty Thor,1,2,1
Sinister Strange,Teenage Groot,2,1,2
Doomsday,Eternity,1,2,1
Ratcatcher,Ikaris,2,1,2
Hespera,Jemiah the Analyzer,2,1,2
Katana,Shang-Chi,1,2,1
Supergirl,Hawkeye,2,1,2
Black Mask,Batman,1,2,1
Stature,Proxima Midnight,1,2,1
Thor,Korath the Pursuer,1,2,1
Black Widow,Ms. America,1,2,1
Black Panther (Variant),Fandral,1,2,1
Freddy Freeman,Bloodsport,1,2,1
Vulture,Red Guardian,1,2,1
Dar-Benn,Wong,1,2,1
Thor (Pre-Ragnarok),High Evolutionary,1,2,1
Rick Flag,Eternity,2,1,2
Sif,Savant,1,2,1
Lady Loki,Batman,2,1,2
Captain America (Worthy),Cyclone,1,2,1
Dormammu,Iron Fist,1,2,1
Unworthy Thor,Wanda Maximoff (Pre-Wandavision),1,2,1
She-Hulk,Sif,1,2,1
Star-Lord,Enchantress,2,1,2
Black Canary,Kingpin,2,1,2
Huntress,Supergirl,2,1,2
Dark Flash,Yellowjacket,2,1,2
Fat Thor,Wong,1,2,1
Bucky Barnes,Gargantos,2,1,2
Fat Thor,Faora,2,1,2
Lust,Doctor Strange,1,2,1
Iron Man (Hulkbuster),Thanos (Infinity Gauntlet),2,1,2
Steppenwolf,Loki (Variant L1130),2,1,2
Killmonger,Korath the Pursuer,2,1,2
Mandarin,Black Manta,2,1,2
Superman,Red Skull (Stonekeeper),1,2,1
Atom Smasher,Loki (Keeper of the Multiverse),2,1,2
Winter Soldier,Hawkeye,2,1,2
Nebula,Kro,2,1,2
Crossbones,Kingo,2,1,2
Dark Flash,Mysterio,1,2,1
Enchantress,Loki (King of Asgard),1,2,1
Hawkman,Black Panther,2,1,2
Valkyrie,Loki,2,1,2
Scarlet Witch,Iron Man (MK 1),2,1,2
Nam-Ek,Captain America (Worthy),1,2,1
Aquaman,Cyclone,2,1,2
General Zod,Atom Smasher,2,1,2
Ocean Master,Deathlok,2,1,2
Cheetah,Dormammu,1,2,1
Ego,Black Widow,2,1,2
Wolverine,Atom Smasher,2,1,2
Jessica Jones,Joker,2,1,2
Nam-Ek,Captain America,2,1,2
Phastos,Yellowjacket,1,2,1
Star-Lord,Groot,1,2,1
Okoye,Ghost,1,2,1
Moon Knight,Vigilante,2,1,2
Gorr the God Butcher,Gravik,2,1,2
Nick Fury,Katana,1,2,1
Shuri,Ikaris,2,1,2
Penthesileia,Supergirl,1,2,1
Wanda Maximoff (Pre-Wandavision),Kurse,2,1,2
Black Manta,Huntress,2,1,2
Kingpin,Wanda Maximoff (Pre-Wandavision),2,1,2
Ms. America,Slipknot,1,2,1
Gamora,Doomsday,2,1,2
Quicksilver,Mr. Fantastic (Earth-838),2,1,2
Iron Spider,Stature,1,2,1
Sinister Strange,Enchantress,1,2,1
Iron Man (Hulkbuster),The Grandmaster,1,2,1
Black Panther,Gargantos,2,1,2
Supergirl,Outrider,2,1,2
Green Lantern,Gravik,1,2,1
Kid Loki,Yellowjacket,1,2,1
Kingpin,Cyborg,1,2,1
Makkari,Hulk,2,1,2
Whiplash Mark II,Echo,1,2,1
Red Skull (Stonekeeper),Ghost,2,1,2
Moon Knight,Killian,1,2,1
Photon,Gilgamesh,2,1,2
Whiplash,Fat Thor,2,1,2
Okoye,Daredevil,2,1,2
Black Panther (Variant),She-Hulk,2,1,2
Ancient One,Korg,2,1,2
Sinister Strange,Ancient One,1,2,1
Bucky Barnes,Killian,2,1,2
Thena,Doctor Fate,2,1,2
Slipknot,She-Hulk,1,2,1
Baron Zemo,Lust,2,1,2
Wasp,Loki (Mind Stone),1,2,1
Whiplash,Killer Croc,2,1,2
Iron Man (Hulkbuster),Giah,1,2,1
Peacemaker,The Flash,1,2,1
Arishem the Judge,Ancient One (Time Stone),2,1,2
Cyclone,Taskmaster,1,2,1
Red Skull,Shuri,2,1,2
Bucky Barnes,Ultron,1,2,1
Savant,Iron Spider,2,1,2
Red Skull (Stonekeeper),Odin,1,2,1
Hulk (Stark Gauntlet),Eternity,2,1,2
Hulk,Baron Mordo,2,1,2
Hawkman,Queen Hippolyta,2,1,2
Wanda Maximoff (Pre-Wandavision),Fat Thor,2,1,2
Falcon,Loki (Variant L1130),1,2,1
Quake,Quicksilver,2,1,2
Mighty Thor,Unworthy Thor,1,2,1
Teenage Groot,Sabbac,2,1,2
Peacemaker,Loki (Mind Stone),2,1,2
Talos the Untamed,Ancient One,2,1,2
Captain America,Polka-Dot Man,1,2,1
Wonder Woman,Doctor Strange,1,2,1
Ajak,Unworthy Thor,1,2,1
Wonder Woman,Drax the Destroyer,1,2,1
Gravik,Joker,1,2,1
Judomaster,Iron Monger,2,1,2
Iron Man,Sabbac,2,1,2
Deadshot,Killmonger,1,2,1
Black Widow,Hawkeye,2,1,2
Fandral,Parademon,2,1,2
Black Widow (Variant),Zeus,2,1,2
Jessica Jones,The Executioner,1,2,1
Swole Groot,Penthesileia,2,1,2
Moon Knight,Jemiah the Analyzer,1,2,1
Thor (Awakened),Loki (Keeper of the Multiverse),2,1,2
Cassandra Cain,Red Guardian,1,2,1
Kid Loki,Cyborg,2,1,2
Black Panther,Mr. Fantastic (Earth-838),1,2,1
Black Widow (Variant),Iron Man (MK 1),1,2,1
Ocean Master,Joker,1,2,1
Abomination,Ares,2,1,2
Black Canary,Baron Zemo,1,2,1
Atom Smasher,White Dragon,2,1,2
Hawkman,Cyborg,2,1,2
Iron Man (MK 1),Faora,1,2,1
Iron Spider,Red Skull (Stonekeeper),1,2,1
Kro,Whiplash,1,2,1
Loki (Variant L1130),Ironheart,1,2,1
Luke Cage,Ratcatcher,2,1,2
Heimdall,General Zod,1,2,1
Enchantress,The Executioner,2,1,2
Whiplash,Yellowjacket,1,2,1
Winter Soldier,Zeus,1,2,1
Mr. Knight,The Executioner,2,1,2
Scarlet Witch,King Shark,1,2,1
Ratcatcher,Black Canary,1,2,1
Ms. Marvel,Phastos,1,2,1
Star-Lord,Shazam,2,1,2
Mandarin,Lex Luthor,1,2,1
Outrider,Mandarin,1,2,1
War Machine,Ronan the Accuser,1,2,1
The Punisher,Ms. America,2,1,2
Nam-Ek,Hawkeye (Variant),2,1,2
Sersi,Killer Croc,1,2,1
Lust,Slipknot,1,2,1
Ant-Man,Leo Fitz,2,1,2
Korg,Deadshot,1,2,1
Ironheart,War Machine,1,2,1
Hawkman,Ms. Marvel,1,2,1
Wonder Woman,Rick Flag,1,2,1
Malekith (Reality Stone),Doomsday,1,2,1
Nick Fury,Wolverine,1,2,1
Quake,Polka-Dot Man,1,2,1
Huntress,Falcon,2,1,2
Destroyer,Thanos (Infinity Gauntlet),2,1,2
King Nereus,Batman,1,2,1
Killmonger,Spider-Man,1,2,1
Jemiah the Analyzer,Talos the Untamed,2,1,2
Ikaris,Parademon,1,2,1
Nuidis Vulko,Freddy Freeman,1,2,1
Gilgamesh,Loki (Keeper of the Multiverse),1,2,1
Gravik,Sabbac,1,2,1
Cyclone,Kingo,1,2,1
Ant-Man,White Dragon,2,1,2
Supergirl,Captain America,1,2,1
Sif,Harley Quinn,1,2,1
Makkari,Ultron,1,2,1
Fat Thor,Teenage Groot,1,2,1
Karathen,Doctor Strange,1,2,1
Hulk (Stark Gauntlet),Falcon,1,2,1
Baby Groot,Nam-Ek,1,2,1
Taskmaster,Zeus,2,1,2
Thanos,Hulk (Stark Gauntlet),2,1,2
Giah,Captain Carter (Earth-838),2,1,2
Captain Carter (Earth-838),Queen Hippolyta,1,2,1
Loki (Mind Stone),Shazam,2,1,2
El Diablo,Harley Quinn,1,2,1
Judomaster,Doctor Fate,1,2,1
Mr. Knight,Mantis,2,1,2
Superman,Thor,1,2,1
King Shark,Hawkeye (Variant),1,2,1
Scarlet Witch,Ratcatcher,2,1,2
Swole Groot,Zeus,2,1,2
Aquaman,Captain Carter (Earth-838),1,2,1
Black Panther (Variant),Kingo,1,2,1
Frigga,Ocean Master,2,1,2
Fenris,Freddy Freeman,2,1,2
